Uncaught exception,[0, 0, 6, 222],3.0,[13.513513513513514, 0, 0.0, 0],0.0
Uninitialized scalar field,[0, 0, 400, 2783],200.0,[55.75, 0, 32.33920229967661, 0],16.169601149838304
Dereference before null check,[41, 258, 444, 516],351.0,[65.85365853658537, 23.837209302325583, 58.108108108108105, 30.620155038759687],44.364131573433895
Data race condition,[2, 4, 80, 371],42.0,[50.0, 14.555256064690028, 26.25, 0.0],20.402628032345014
Wrapper object use after free,[0, 0, 2, 9],1.0,[44.44444444444444, 0, 0.0, 0],0.0
Logically dead code,[145, 1043, 1418, 3093],1230.5,[39.310344827586206, 16.713681241184766, 26.558005752636625, 1.6812156482379566],21.635843496910695
Invalid iterator comparison,[0, 0, 0, 5],0.0,[80.0, 0, 0, 0],0.0
Iterator container mismatch,[0, 0, 0, 6],0.0,[100.0, 0, 0, 0],0.0
Use of untrusted string value,[12, 15, 24, 31],19.5,[25.0, 4.166666666666666, 20.0, 12.903225806451612],16.451612903225808
Using invalid iterator,[0, 0, 14, 31],7.0,[71.42857142857143, 0, 3.225806451612903, 0],1.6129032258064515
Array compared against 0,[2, 15, 18, 106],16.5,[16.666666666666664, 24.528301886792452, 20.0, 100.0],22.264150943396224
Uninitialized scalar variable,[57, 57, 348, 1205],202.5,[45.614035087719294, 17.925311203319502, 39.08045977011494, 82.45614035087719],42.347247428917115
Copy into fixed size buffer,[4, 36, 40, 388],38.0,[60.0, 1.2886597938144329, 33.33333333333333, 75.0],46.666666666666664
Operands don't affect result,[14, 105, 816, 2083],460.5,[21.428571428571427, 8.088235294117647, 40.95238095238095, 1.1521843494959194],14.758403361344538
Unchecked dynamic_cast,[0, 0, 0, 34],0.0,[32.35294117647059, 0, 0, 0],0.0
Missing break in switch,[26, 124, 242, 1052],183.0,[17.741935483870968, 8.650190114068442, 57.438016528925615, 34.61538461538461],26.17866004962779
Unused value,[18, 130, 170, 920],150.0,[33.33333333333333, 18.478260869565215, 48.8235294117647, 20.76923076923077],27.05128205128205
Argument cannot be negative,[17, 27, 30, 38],28.5,[36.666666666666664, 11.11111111111111, 26.31578947368421, 70.58823529411765],31.49122807017544
Untrusted pointer read,[5, 8, 44, 47],26.0,[0.0, 0.0, 0.0, 12.5],0.0
Dereference null return value,[48, 149, 315, 474],232.0,[27.083333333333332, 18.354430379746837, 54.285714285714285, 41.61073825503356],34.34703579418345
Unchecked return value,[199, 292, 846, 1656],569.0,[31.155778894472363, 15.881642512077295, 36.997635933806144, 33.9041095890411],32.52994424175673
Assign instead of compare,[1, 2, 4, 11],3.0,[0.0, 0.0, 63.63636363636363, 100.0],31.818181818181817
Structurally dead code,[24, 86, 155, 452],120.5,[58.333333333333336, 21.29032258064516, 26.10619469026549, 10.465116279069768],23.698258635455325
Unrecoverable parse warning,[2, 6, 151, 18067],78.5,[16.666666666666664, 0.022139812918580838, 1.9867549668874174, 0.0],1.004447389902999
Big parameter passed by value,[19, 20, 58, 208],39.0,[54.807692307692314, 5.0, 39.6551724137931, 10.526315789473683],25.090744101633394
Waiting while holding a lock,[0, 0, 2, 10],1.0,[100.0, 0.0, 0, 0],0.0
Missing unlock,[2, 7, 24, 138],15.5,[0.0, 8.695652173913043, 37.5, 28.57142857142857],18.633540372670808
Dereference after null check,[89, 97, 809, 1078],453.0,[58.42696629213483, 20.27194066749073, 19.20222634508349, 48.45360824742268],34.3627744574567
Unintentional integer overflow,[9, 31, 32, 366],31.5,[40.625, 20.21857923497268, 64.51612903225806, 22.22222222222222],31.42361111111111
Division or modulo by zero,[5, 24, 61, 325],42.5,[41.66666666666667, 15.384615384615385, 47.540983606557376, 40.0],40.833333333333336
Uninitialized pointer field,[0, 0, 127, 1048],63.5,[50.39370078740157, 0, 36.92748091603054, 0],18.46374045801527
Result is not floating-point,[0, 5, 17, 48],11.0,[52.94117647058824, 20.0, 35.41666666666667, 0],27.708333333333336
Non-virtual destructor,[0, 0, 3, 9],1.5,[33.33333333333333, 0, 11.11111111111111, 0],5.555555555555555
Constant expression result,[3, 4, 4, 41],4.0,[50.0, 33.33333333333333, 75.0, 41.46341463414634],45.73170731707317
Resource leak,[74, 831, 1159, 1357],995.0,[58.108108108108105, 23.382226056945644, 45.467943994104644, 23.465703971119133],34.466823982611885
Missing move assignment operator,[0, 0, 33, 82],16.5,[81.81818181818183, 0, 1.2195121951219512, 0],0.6097560975609756
Nesting level does not match indentation,[0, 6, 7, 18],6.5,[100.0, 72.22222222222221, 66.66666666666666, 0],69.44444444444443
Parse warning,[5, 21, 77, 97],49.0,[80.0, 23.809523809523807, 10.38961038961039, 1.0309278350515463],17.099567099567096
Untrusted value as argument,[35, 36, 77, 197],56.5,[8.571428571428571, 11.16751269035533, 2.7777777777777777, 7.792207792207792],8.181818181818182
Mixing enum types,[5, 20, 69, 315],44.5,[40.0, 18.095238095238095, 34.78260869565217, 35.0],34.891304347826086
Unsigned compared against 0,[16, 18, 74, 316],46.0,[27.77777777777778, 22.468354430379748, 6.25, 5.405405405405405],14.359177215189874
Various,[116, 284, 285, 356],284.5,[19.82758620689655, 10.56338028169014, 32.631578947368425, 22.191011235955056],21.009298721425804
'Constant' variable guards dead code,[4, 4, 60, 143],32.0,[0.0, 13.286713286713287, 40.0, 25.0],19.143356643356643
Printf arg count mismatch,[0, 0, 1, 21],0.5,[4.761904761904762, 0, 100.0, 0],2.380952380952381
Self assignment,[1, 6, 12, 73],9.0,[0.0, 15.068493150684931, 66.66666666666666, 0.0],7.534246575342466
Calling risky function,[2, 12, 193, 222],102.5,[0.0, 0.0, 5.8558558558558556, 34.715025906735754],2.9279279279279278
Failed to override method,[0, 0, 16, 33],8.0,[75.0, 0, 3.0303030303030303, 0],1.5151515151515151
Uninitialized pointer read,[4, 25, 116, 151],70.5,[25.0, 26.490066225165563, 32.758620689655174, 92.0],29.62434345741037
Not restoring ostream format,[0, 0, 1, 3],0.5,[0.0, 0, 66.66666666666666, 0],0.0
Printf arg type mismatch,[4, 18, 20, 23],19.0,[56.52173913043478, 50.0, 50.0, 75.0],53.26086956521739
Out-of-bounds read,[8, 45, 83, 722],64.0,[46.666666666666664, 10.664819944598337, 24.096385542168676, 75.0],35.381526104417674
Improper use of negative value,[26, 85, 141, 163],113.0,[23.076923076923077, 29.447852760736197, 34.11764705882353, 9.219858156028367],26.26238791882964
Explicit null dereferenced,[26, 91, 681, 13425],386.0,[26.923076923076923, 17.180616740088105, 4.625698324022346, 27.472527472527474],22.051846831582516
Truncated stdio return value,[0, 0, 3, 3],1.5,[0.0, 0, 33.33333333333333, 0],0.0
Use of untrusted scalar value,[29, 30, 38, 280],34.0,[6.666666666666667, 3.214285714285714, 52.63157894736842, 13.793103448275861],10.229885057471265
Untrusted loop bound,[44, 53, 56, 58],54.5,[0.0, 2.272727272727273, 37.5, 16.9811320754717],9.626929674099486
String not null terminated,[4, 4, 7, 66],5.5,[25.0, 4.545454545454546, 14.285714285714285, 50.0],19.642857142857142
Insecure temporary file,[3, 10, 12, 22],11.0,[0.0, 25.0, 10.0, 22.727272727272727],16.363636363636363
Inferred misuse of enum,[0, 6, 24, 76],15.0,[16.666666666666664, 13.157894736842104, 45.83333333333333, 0],14.912280701754383
Ignoring number of bytes read,[7, 7, 10, 12],8.5,[30.0, 0.0, 42.857142857142854, 41.66666666666667],35.833333333333336
